Timestamp,Event
1740155683005,Mouse moved from (659, 592) to (659, 587) (outside window)
1740155683018,Mouse moved from (659, 587) to (657, 577) (outside window)
1740155683031,Mouse moved from (657, 577) to (647, 528) (outside window)
1740155683043,Mouse moved from (647, 528) to (631, 445) (outside window)
1740155683055,Mouse moved from (631, 445) to (622, 346) (outside window)
1740155683066,Mouse moved from (622, 346) to (619, 279) (outside window)
1740155683079,Mouse moved from (619, 279) to (619, 194) (outside window)
1740155683091,Mouse moved from (619, 194) to (619, 179) (outside window)
1740155683103,Mouse moved from (619, 179) to (620, 163) (outside window)
1740155683116,Mouse moved from (620, 163) to (621, 148) (outside window)
1740155683127,Mouse moved from (621, 148) to (622, 134) (outside window)
1740155683138,Mouse moved from (622, 134) to (623, 132) (outside window)
1740155683151,Mouse moved from (623, 132) to (624, 130) (outside window)
1740155683187,Mouse clicked: [false, true, false, false, false]
1740155683260,Mouse clicked: [false, false, false, false, false]
1740155683293,Mouse moved from (624, 130) to (624, 137) (outside window)
1740155683304,Mouse moved from (624, 137) to (624, 147) (outside window)
1740155683317,Mouse moved from (624, 147) to (625, 166) (outside window)
1740155683327,Mouse moved from (625, 166) to (625, 167) (outside window)
1740155683339,Mouse moved from (625, 167) to (625, 182) (outside window)
1740155683351,Mouse moved from (625, 182) to (625, 187) (outside window)
1740155683361,Mouse moved from (625, 187) to (625, 199) (outside window)
1740155683374,Mouse moved from (625, 199) to (625, 214) (outside window)
1740155683386,Mouse moved from (625, 214) to (626, 233) (outside window)
1740155683398,Mouse moved from (626, 233) to (627, 245) (outside window)
1740155683409,Mouse moved from (627, 245) to (630, 256) (outside window)
1740155683422,Mouse moved from (630, 256) to (636, 277) (outside window)
1740155683433,Mouse moved from (636, 277) to (637, 282) (outside window)
1740155683525,Mouse clicked: [false, true, false, false, false]
1740155683626,Mouse clicked: [false, false, false, false, false]
1740155683723,Mouse moved from (637, 282) to (638, 282) (outside window)
1740155683735,Mouse moved from (638, 282) to (641, 282) (outside window)
1740155683748,Mouse moved from (641, 282) to (649, 286) (outside window)
1740155683761,Mouse moved from (649, 286) to (657, 294) (outside window)
1740155683772,Mouse moved from (657, 294) to (660, 298) (outside window)
1740155683783,Mouse moved from (660, 298) to (661, 300) (outside window)
1740155683796,Mouse moved from (661, 300) to (662, 310) (outside window)
1740155683808,Mouse moved from (662, 310) to (655, 327) (outside window)
1740155683820,Mouse moved from (655, 327) to (642, 336) (outside window)
1740155683833,Mouse moved from (642, 336) to (624, 345) (outside window)
1740155683845,Mouse moved from (624, 345) to (567, 370) (outside window)
1740155683856,Mouse moved from (567, 370) to (501, 392) (outside window)
1740155683880,Mouse moved from (501, 392) to (435, 412) (outside window)
1740155683892,Mouse moved from (435, 412) to (397, 422) (outside window)
1740155683903,Mouse moved from (397, 422) to (376, 429) (outside window)
1740155683913,Mouse moved from (376, 429) to (342, 438) (outside window)
1740155683926,Mouse moved from (342, 438) to (336, 439) (outside window)
1740155683937,Mouse moved from (336, 439) to (321, 442) (outside window)
1740155683949,Mouse moved from (321, 442) to (315, 444) (outside window)
1740155683962,Mouse moved from (315, 444) to (308, 445) (outside window)
1740155683973,Mouse moved from (308, 445) to (306, 445) (outside window)
1740155683991,Mouse moved from (306, 445) to (305, 445) (outside window)
1740155683991,Mouse clicked: [false, true, false, false, false]
1740155684085,Mouse clicked: [false, false, false, false, false]
1740155684148,Mouse moved from (305, 445) to (305, 444) (outside window)
1740155684159,Mouse moved from (305, 444) to (307, 441) (outside window)
1740155684172,Mouse moved from (307, 441) to (308, 439) (outside window)
1740155684183,Mouse moved from (308, 439) to (310, 435) (outside window)
1740155684195,Mouse moved from (310, 435) to (312, 432) (outside window)
1740155684207,Mouse moved from (312, 432) to (321, 424) (outside window)
1740155684219,Mouse moved from (321, 424) to (335, 416) (outside window)
1740155684233,Mouse moved from (335, 416) to (366, 407) (outside window)
1740155684246,Mouse moved from (366, 407) to (423, 401) (outside window)
1740155684256,Mouse moved from (423, 401) to (483, 401) (outside window)
1740155684270,Mouse moved from (483, 401) to (545, 402) (outside window)
1740155684282,Mouse moved from (545, 402) to (583, 409) (outside window)
1740155684295,Mouse moved from (583, 409) to (648, 433) (outside window)
1740155684308,Mouse moved from (648, 433) to (659, 437) (outside window)
1740155684321,Mouse moved from (659, 437) to (671, 441) (outside window)
1740155684712,Mouse moved from (671, 441) to (674, 441) (outside window)
1740155684725,Mouse moved from (674, 441) to (687, 441) (outside window)
1740155684737,Mouse moved from (687, 441) to (695, 441) (outside window)
1740155684750,Mouse moved from (695, 441) to (713, 441) (inside window)
1740155684762,Mouse moved from (713, 441) to (721, 441) (inside window)
1740155684774,Mouse moved from (721, 441) to (732, 441) (inside window)
1740155684787,Mouse moved from (732, 441) to (738, 441) (inside window)
1740155684800,Mouse moved from (738, 441) to (743, 441) (inside window)
1740155684810,Mouse moved from (743, 441) to (746, 441) (inside window)
1740155684823,Mouse moved from (746, 441) to (749, 441) (inside window)
1740155684941,Mouse moved from (749, 441) to (751, 441) (inside window)
1740155684953,Mouse moved from (751, 441) to (759, 437) (inside window)
1740155684963,Mouse moved from (759, 437) to (780, 427) (inside window)
1740155684974,Mouse moved from (780, 427) to (793, 420) (inside window)
1740155684987,Mouse moved from (793, 420) to (838, 397) (inside window)
1740155684997,Mouse moved from (838, 397) to (869, 380) (inside window)
1740155685161,Mouse moved from (869, 380) to (872, 381) (inside window)
1740155685173,Mouse moved from (872, 381) to (892, 390) (inside window)
1740155685186,Mouse moved from (892, 390) to (902, 395) (inside window)
1740155685198,Mouse moved from (902, 395) to (923, 404) (inside window)
1740155685210,Mouse moved from (923, 404) to (930, 407) (inside window)
1740155685224,Mouse moved from (930, 407) to (938, 410) (inside window)
1740155685234,Mouse moved from (938, 410) to (947, 415) (inside window)
1740155685246,Mouse moved from (947, 415) to (949, 417) (inside window)
1740155685259,Mouse moved from (949, 417) to (950, 420) (inside window)
1740155685271,Mouse moved from (950, 420) to (949, 421) (inside window)
1740155685282,Mouse moved from (949, 421) to (936, 423) (inside window)
1740155685294,Mouse moved from (936, 423) to (932, 423) (inside window)
1740155685305,Mouse moved from (932, 423) to (918, 423) (inside window)
1740155685318,Mouse moved from (918, 423) to (913, 420) (inside window)
1740155685329,Mouse moved from (913, 420) to (906, 413) (inside window)
1740155685340,Mouse moved from (906, 413) to (904, 409) (inside window)
1740155685351,Mouse moved from (904, 409) to (903, 404) (inside window)
1740155685364,Mouse moved from (903, 404) to (903, 388) (inside window)
1740155685377,Mouse moved from (903, 388) to (908, 379) (inside window)
1740155685390,Mouse moved from (908, 379) to (919, 364) (inside window)
1740155685401,Mouse moved from (919, 364) to (923, 361) (inside window)
1740155685414,Mouse moved from (923, 361) to (932, 354) (inside window)
1740155685425,Mouse moved from (932, 354) to (943, 349) (inside window)
1740155685450,Mouse moved from (943, 349) to (943, 359) (inside window)
1740155685463,Mouse moved from (943, 359) to (939, 365) (inside window)
1740155685476,Mouse moved from (939, 365) to (922, 380) (inside window)
1740155685489,Mouse moved from (922, 380) to (897, 392) (inside window)
1740155685500,Mouse moved from (897, 392) to (882, 397) (inside window)
1740155685536,Mouse moved from (882, 397) to (830, 406) (inside window)
1740155685800,Mouse moved from (830, 406) to (838, 414) (inside window)
1740155685812,Mouse moved from (838, 414) to (843, 423) (inside window)
1740155685823,Mouse moved from (843, 423) to (850, 439) (inside window)
